id	name	abstract	data_type	default_task	attribute_type	n_instances	n_attrs	y	area	url
1	Abalone	Predict the age of abalone from physical measurements	Multivariate	Classification	Categorical, Integer, Real	4177	8	1995	Life	http://archive.ics.uci.edu/ml/datasets/Abalone
2	Adult	Predict whether income exceeds $50K/yr based on census data.  Also known as 'Census Income' dataset.	Multivariate	Classification	Categorical, Integer	48842	14	1996	Social	http://archive.ics.uci.edu/ml/datasets/Adult
3	Annealing	Steel annealing data	Multivariate	Classification	Categorical, Integer, Real	798	38		Physical	http://archive.ics.uci.edu/ml/datasets/Annealing
4	Anonymous Microsoft Web Data	Log of anonymous users of www.microsoft.com; predict areas of the web site a user visited based on data on other areas the user visited.		Recommender-Systems	Categorical	37711	294	1998	Computer	http://archive.ics.uci.edu/ml/datasets/Anonymous+Microsoft+Web+Data
5	Arrhythmia	Distinguish between the presence and absence of cardiac arrhythmia and classify it in one of the 16 groups.	Multivariate	Classification	Categorical, Integer, Real	452	279	1998	Life	http://archive.ics.uci.edu/ml/datasets/Arrhythmia
6	Artificial Characters	Dataset artificially generated by using first order theory which describes structure of ten capital letters of English alphabet	Multivariate	Classification	Categorical, Integer, Real	6000	7	1992	Computer	http://archive.ics.uci.edu/ml/datasets/Artificial+Characters
7	Audiology (Original)	Nominal audiology dataset from Baylor	Multivariate	Classification	Categorical	226		1987	Life	http://archive.ics.uci.edu/ml/datasets/Audiology+%28Original%29
8	Audiology (Standardized)	Standardized version of the original audiology database	Multivariate	Classification	Categorical	226	69	1992	Life	http://archive.ics.uci.edu/ml/datasets/Audiology+%28Standardized%29
9	Auto MPG	Revised from CMU StatLib library, data concerns city-cycle fuel consumption	Multivariate	Regression	Categorical, Real	398	8	1993	Other	http://archive.ics.uci.edu/ml/datasets/Auto+MPG
10	Automobile	From 1985 Ward's Automotive Yearbook	Multivariate	Regression	Categorical, Integer, Real	205	26	1987	Other	http://archive.ics.uci.edu/ml/datasets/Automobile
11	Badges	Badges labeled with a '+' or '-' as a function of a person's name	Univariate, Text	Classification		294	1	1994	Other	http://archive.ics.uci.edu/ml/datasets/Badges
12	Balance Scale	Balance scale weight & distance database	Multivariate	Classification	Categorical	625	4	1994	Social	http://archive.ics.uci.edu/ml/datasets/Balance+Scale
13	Balloons	Data previously used in cognitive psychology experiment; 4 data sets represent different conditions of an experiment	Multivariate	Classification	Categorical	16	4		Social	http://archive.ics.uci.edu/ml/datasets/Balloons
14	Breast Cancer	Breast Cancer Data (Restricted Access)	Multivariate	Classification	Categorical	286	9	1988	Life	http://archive.ics.uci.edu/ml/datasets/Breast+Cancer
15	Breast Cancer Wisconsin (Original)	Original Wisconsin Breast Cancer Database	Multivariate	Classification	Integer	699	10	1992	Life	http://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Original%29
16	Breast Cancer Wisconsin (Prognostic)	Prognostic Wisconsin Breast Cancer Database	Multivariate	Classification, Regression	Real	198	34	1995	Life	http://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Prognostic%29
17	Breast Cancer Wisconsin (Diagnostic)	Diagnostic Wisconsin Breast Cancer Database	Multivariate	Classification	Real	569	32	1995	Life	http://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Diagnostic%29
